Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,6,,,,,,,,,,,,,,,,,,,,
Start Time,4:33:10.9 PM,,,,,,,,,,,,,,,,,,,,
End Time,4:44:18.3 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:11:07.3,,,,,,,,,,,,,,,,,,,,
Distance,2824 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
83,4:36:19.4 PM,0:01:52.737000,27.6,4.44,9.3,240,523,616,-10.9,51,88.1,61.7,-55.8,32.3,15.8,10.7,694,0.975,,44.8,55.2
84,4:36:21.5 PM,0:01:52.724000,26.2,4.44,9.7,255,584,654,-11.1,52.3,87.1,63.4,-56.7,30.4,13.3,10.4,670,0.914,,39.9,60.1
85,4:36:23.8 PM,0:01:52.968000,27,4.43,10.4,246,545,602,-11.1,51.5,84.9,59.8,-54.8,30.1,16.5,8.6,670,1.05,,47.3,52.7
86,4:36:26.0 PM,0:01:52.320000,27.2,4.45,10.2,239,528,593,-13.2,49.3,85.6,60.3,-55.4,30.2,16.5,8.7,775,0.886,,40.1,59.9
87,4:36:28.2 PM,0:01:51.167000,25.5,4.5,10,244,576,640,-20.1,41.7,88,64.9,-56.7,31.3,14.3,8.8,648,0.989,,42,58
88,4:36:30.6 PM,0:01:51.429000,27.4,4.49,9.3,265,579,604,-5.7,57.8,89.4,65.9,-57.4,32,13.3,10.2,567,0.946,,43.2,56.8
89,4:36:32.8 PM,0:01:51.848000,25.5,4.47,10.7,267,627,662,-9.8,52.3,89.8,66.8,-56.8,33,11.7,11.3,627,0.972,,41.3,58.7
90,4:36:35.1 PM,0:01:52.384000,27,4.45,10.1,270,600,670,-10.2,54.1,87.1,66.3,-57.4,29.8,14.5,6.3,638,0.945,,42.6,57.4
91,4:36:37.4 PM,0:01:52.769000,26.5,4.43,9.8,275,623,635,-11.1,52.7,87.9,66.2,-57.4,30.6,12.8,8.9,686,0.946,,41.7,58.3
92,4:36:39.6 PM,0:01:52.142000,27.6,4.46,9.5,251,545,621,-8,57,89.3,60.7,-58.9,30.4,19.4,9.2,667,0.946,,43.5,56.5
93,4:36:41.8 PM,0:01:51.505000,26.9,4.48,10.5,217,485,544,-10.6,51.6,85.3,58.7,-54.6,30.7,17,9.5,699,0.898,,40.2,59.8
94,4:36:44.0 PM,0:01:51.162000,25.1,4.5,10.7,222,531,571,-12.2,51.1,85.6,63.4,-56,29.6,14.1,8.2,656,1.02,,42.7,57.3
95,4:36:46.4 PM,0:01:52.105000,28.6,4.46,8.6,257,539,571,-9.6,53.3,88.9,61.4,-57,31.9,15.1,12.5,685,0.854,,40.7,59.3
96,4:36:48.5 PM,0:01:53.491000,26.1,4.41,10.1,247,566,626,-8.1,56,86,64.2,-56.2,29.8,12.8,9.1,684,0.93,,40.5,59.5
97,4:36:50.8 PM,0:01:53.025000,26.3,4.42,10.7,229,522,589,-17.4,45.6,85.3,62.2,-56.3,29,13.8,9.4,717,0.96,,42.1,57.9
98,4:36:53.1 PM,0:01:53.283000,27.8,4.41,9.5,241,520,573,-17.7,44.1,85.6,59.7,-55.4,30.2,14.6,11.3,697,0.9,,41.6,58.4
99,4:36:55.3 PM,0:01:53.322000,27.4,4.41,9.5,231,506,587,-8.7,53.6,85.6,58,-54.6,31.1,15.2,12.4,701,0.946,,43.2,56.8
100,4:36:57.5 PM,0:01:51.533000,26.8,4.48,10.2,274,612,638,-12.9,51,85.9,65.7,-56.7,29.2,13.5,6.7,688,0.975,,43.6,56.4
101,4:36:59.7 PM,0:01:51.184000,29.2,4.5,9.4,289,594,641,-7.7,55.5,85.9,62.2,-55.4,30.6,13.6,10.1,801,0.84,,40.9,59.1
102,4:37:01.7 PM,0:01:52.103000,26.3,4.46,10.5,255,582,603,-11.3,52.8,86.2,66.3,-56.8,29.4,12.3,7.6,720,0.991,,43.5,56.5
103,4:37:04.0 PM,0:01:49.483000,27.4,4.57,9.8,248,544,582,-6.4,55.9,88.3,60.5,-55.7,32.5,16.3,11.4,689,1.006,,45.9,54.1
104,4:37:06.2 PM,0:01:51.206000,26.7,4.5,9.3,259,582,645,-10.3,53.8,87.7,66.5,-57.5,30.2,14.1,7.1,701,0.916,,40.7,59.3
105,4:37:08.5 PM,0:01:53.540000,28.6,4.4,9.3,270,566,620,-14.7,45.4,90.6,64.1,-55.9,34.8,13.7,12.8,667,0.856,,40.8,59.2
106,4:37:10.6 PM,0:01:52.639000,27.2,4.44,10.2,252,556,630,-11.6,52.7,85.9,64.9,-56.8,29.1,12.9,8.1,635,0.885,,40.2,59.8
107,4:37:12.8 PM,0:01:52.245000,27.8,4.45,10.2,272,588,621,-16.4,46.5,88.5,65,-57.6,30.9,13.5,10,703,0.856,,39.6,60.4
108,4:37:14.9 PM,0:01:48.848000,27.2,4.59,10.1,246,542,589,-11.3,52.2,91,61.2,-58.8,32.2,18.2,11.5,750,0.84,,38.1,61.9
109,4:37:17.1 PM,0:01:48.024000,26.8,4.63,9.5,240,536,594,-14.9,50.8,85.5,64.6,-58.4,27.1,14.6,6.2,677,0.9,,40.3,59.7
110,4:37:19.4 PM,0:01:51.429000,26.3,4.49,9.3,221,504,555,-20.4,42,87.9,59.8,-57.4,30.5,15.6,12.5,622,0.96,,42.1,57.9
111,4:37:21.6 PM,0:01:54.925000,27.9,4.35,8.8,227,488,567,-17.6,43.3,85.9,57.8,-54.7,31.1,15.8,12.3,701,0.841,,39.2,60.8
112,4:37:23.8 PM,0:01:57.464000,25.7,4.26,10.7,247,578,615,-14.5,49.1,87.4,64.7,-57.4,30,12.8,9.9,683,1.005,,43,57
113,4:37:26.1 PM,0:01:56.431000,27.6,4.29,9.4,285,621,669,-11.2,52.3,88.1,66.1,-57.2,30.8,13.2,8.7,635,1.005,,46.2,53.8
114,4:37:28.3 PM,0:01:55.098000,27.6,4.34,9.2,266,579,631,-13.6,50.1,86.1,65,-56.7,29.4,12.9,8.3,687,0.975,,44.8,55.2
