Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,8,,,,,,,,,,,,,,,,,,,,
Start Time,5:09:18.5 PM,,,,,,,,,,,,,,,,,,,,
End Time,5:21:17.5 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:11:59.0,,,,,,,,,,,,,,,,,,,,
Distance,3004 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
82,5:12:02.5 PM,0:02:05.411000,30.5,3.99,7.6,232,457,516,-15.9,44.5,88.3,56.1,-55.2,33.1,12.5,19.7,617,0.932,,47.4,52.6
83,5:12:04.5 PM,0:02:06.035000,29.4,3.97,8.5,183,373,468,-17.6,42.8,88.4,50.7,-55.4,33,16.1,21.5,602,1.005,,49.3,50.7
84,5:12:06.5 PM,0:02:04.519000,30.1,4.02,8.4,212,424,489,-19.3,41.3,89.3,57.1,-56.2,33.1,12.9,19.2,623,0.914,,45.8,54.2
85,5:12:08.5 PM,0:02:03.514000,30.1,4.05,8.4,162,323,382,-22.5,37.3,89.4,48.8,-55.9,33.6,16.7,24,642,0.916,,45.9,54.1
86,5:12:10.5 PM,0:02:00.124000,29.6,4.16,8.7,205,415,489,-19.6,41.8,90.3,55.5,-57.3,32.9,14.7,20.1,614,0.915,,45.2,54.8
87,5:12:12.5 PM,0:01:57.651000,30.3,4.25,8.4,175,346,433,-17.4,40.7,86.9,49.2,-52.7,34.1,16.2,21.5,616,0.972,,49.1,50.9
88,5:12:14.5 PM,0:01:58.217000,29.6,4.23,8.3,178,362,432,-17.2,42.6,86.8,51,-54.2,32.6,13.1,22.7,642,1.005,,49.6,50.4
89,5:12:16.5 PM,0:01:59.825000,30.3,4.17,7.7,140,277,339,-12,47.6,88.5,44.5,-54.1,34.4,20.6,23.4,591,0.945,,47.7,52.3
90,5:12:18.5 PM,0:02:02.592000,29,4.08,8.1,219,453,499,-25,33.6,87.1,57.9,-54.3,32.8,11.1,18.1,595,0.976,,47.2,52.8
91,5:12:20.6 PM,0:02:04.118000,29.6,4.03,8.5,213,431,504,-19.6,40,87.8,55.9,-54.7,33.1,12.5,19.4,602,1.021,,50.4,49.6
