Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,8,,,,,,,,,,,,,,,,,,,,
Start Time,4:53:02.2 PM,,,,,,,,,,,,,,,,,,,,
End Time,5:04:00.2 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:10:58.0,,,,,,,,,,,,,,,,,,,,
Distance,2838 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,B,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
93,4:56:22.1 PM,0:01:56.152000,28.6,4.3,9,207,434,517,-1.1,60.8,86.3,54.8,-53.5,32.8,20.6,10.9,712,0.925,,44.1,55.9
94,4:56:24.2 PM,0:01:55.396000,27.4,4.33,9.2,154,338,451,4.6,70.4,88.1,49.6,-57.4,30.7,29.9,8.6,673,0.96,,43.8,56.2
95,4:56:26.4 PM,0:01:58.632000,26,4.21,9.5,196,453,475,-3.5,58.8,90.3,64.4,-56.6,33.7,15.4,10.5,580,0.928,,40.2,59.8
96,4:56:28.7 PM,0:02:00.215000,28.1,4.16,8.9,206,439,519,-4.9,57.1,90.2,62.4,-56.4,33.8,17.9,9.9,654,0.884,,41.5,58.5
97,4:56:30.8 PM,0:02:01.232000,27,4.12,9.4,190,422,549,-3.9,61.2,89.8,62.9,-58.8,31,17.2,9.8,687,1.006,,45.3,54.7
98,4:56:33.1 PM,0:01:59.502000,27.6,4.18,9.5,238,518,588,-2.8,61.8,88,63.7,-57.2,30.8,14.7,9.6,653,1.02,,46.9,53.1
99,4:56:35.2 PM,0:01:58.336000,28,4.23,9.1,237,508,586,-5.2,57.8,88.5,65.3,-56.4,32.1,16.2,7,667,1.019,,47.5,52.5
100,4:56:37.4 PM,0:01:57.388000,29.4,4.26,8.7,245,500,558,-8.4,53.3,89.8,64.3,-56.3,33.5,17.4,8.2,652,0.899,,44,56
101,4:56:39.4 PM,0:01:56.793000,28.4,4.28,8.9,252,532,606,-9.4,51.9,89.2,63.1,-55.7,33.5,15.3,10.8,673,0.974,,46.1,53.9
102,4:56:41.5 PM,0:01:58.307000,27.8,4.23,9,192,415,517,-1.1,62.7,91.3,60.4,-58.3,33,20.7,10.3,735,0.855,,39.6,60.4
